Dataset name, Total events, Generator fragment name	Generator, Cross section [pb]
AMSB_chargino_M-100_CTau-10000_TuneCP5_13TeV_pythia8, 250000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-100GeV_CTau-10000cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-100_CTau-1000_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-100GeV_CTau-1000cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-100_CTau-100_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-100GeV_CTau-100cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-100_CTau-10_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-100GeV_CTau-10cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-200_CTau-10000_TuneCP5_13TeV_pythia8, 250000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-200GeV_CTau-10000cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-200_CTau-1000_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-200GeV_CTau-1000cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-200_CTau-100_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-200GeV_CTau-100cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-200_CTau-10_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-200GeV_CTau-10cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-300_CTau-10000_TuneCP5_13TeV_pythia8, 250000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-300GeV_CTau-10000cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-300_CTau-1000_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-300GeV_CTau-1000cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-300_CTau-100_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-300GeV_CTau-100cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-300_CTau-10_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-300GeV_CTau-10cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-400_CTau-10000_TuneCP5_13TeV_pythia8, 250000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-400GeV_CTau-10000cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-400_CTau-1000_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-400GeV_CTau-1000cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
